cells,mothers,cells_censor,mother_censor
6.5,11.0,0.0,0
4.0,11.0,0.0,0
,11.0,,0
,11.0,,0
0.5,11.0,0.0,0
,11.0,,0
,11.0,,0
,11.0,,0
12.5,11.0,0.0,0
13.0,11.0,0.0,0
,11.0,,0
,11.0,,0
2.5,11.0,0.0,0
4.0,11.0,0.0,0
7.0,11.0,0.0,0
5.0,11.0,0.0,0
3.5,10.5,0.0,0
4.5,10.5,0.0,0
7.0,10.5,0.0,0
6.0,10.5,0.0,0
9.0,10.5,0.0,0
9.0,10.5,0.0,0
13.0,10.5,0.0,0
13.0,10.5,0.0,0
6.5,14.5,0.0,0
2.5,14.5,0.0,0
,14.5,,0
,14.5,,0
3.0,19.0,0.0,1
1.0,19.0,0.0,1
,19.0,,1
1.5,19.0,0.0,1
15.5,19.0,0.0,1
15.0,19.0,0.0,1
2.5,19.0,0.0,1
6.5,19.0,0.0,1
7.5,14.5,0.0,1
12.5,14.5,0.0,1
,14.5,,1
4.5,14.5,0.0,1
,14.5,,1
,14.5,,1
7.0,14.5,0.0,1
5.0,14.5,0.0,1
,19.5,,1
,19.5,,1
,19.5,,1
,19.5,,1
,19.5,,1
,19.5,,1
,19.5,,1
,19.5,,1
,21.5,,0
1.5,21.5,0.0,0
9.5,21.5,0.0,0
9.5,21.5,0.0,0
,21.5,,0
6.5,21.5,0.0,0
,2.5,,0
,2.5,,0
13.5,2.5,0.0,0
16.5,2.5,1.0,0
,16.5,,1
,16.5,,1
,17.5,,1
,17.5,,1
,17.5,,1
,17.5,,1
,12.5,,0
5.5,12.5,0.0,0
,12.5,,0
,12.5,,0
11.5,4.0,0.0,0
9.5,4.0,0.0,0
10.5,4.0,0.0,0
14.5,4.0,0.0,0
9.5,4.0,0.0,0
10.0,4.0,0.0,0
5.5,4.0,0.0,0
9.0,4.0,0.0,0
,8.0,,0
,8.0,,0
5.5,17.0,0.0,1
,17.0,,1
2.5,17.0,0.0,1
1.5,17.0,0.0,1
3.5,17.0,0.0,1
3.5,17.0,0.0,1
,19.0,,1
2.5,19.0,0.0,1
,19.0,,1
,19.0,,1
,21.5,,0
,21.5,,0
,21.5,,0
,21.5,,0
,21.5,,0
,21.5,,0
14.5,4.5,0.0,0
15.0,4.5,0.0,0
19.0,4.5,0.0,0
11.0,4.5,0.0,0
,4.5,,0
16.0,4.5,0.0,0
,18.5,,1
,18.5,,1
,22.0,,1
,22.0,,1
,22.0,,1
,22.0,,1
,22.5,,1
,22.5,,1
,23.0,,1
,23.0,,1
,23.0,,1
,23.0,,1
,4.5,,0
,4.5,,0
,4.5,,0
,4.5,,0
,4.5,,0
,4.5,,0
,4.5,,0
,4.5,,0
,21.0,,0
,21.0,,0
,21.0,,0
,21.0,,0
,21.0,,0
,21.0,,0
19.0,1.0,1.0,0
20.0,1.0,0.0,0
16.5,1.0,0.0,0
15.0,1.0,0.0,0
21.0,1.0,0.0,0
16.0,1.0,0.0,0
16.5,1.0,0.0,0
19.5,1.0,0.0,0
,24.0,,1
,24.0,,1
0.5,20.0,0.0,0
,20.0,,0
,20.0,,0
,20.0,,0
1.5,20.0,0.0,0
3.0,20.0,0.0,0
,20.0,,0
1.0,20.0,0.0,0
,20.5,,0
,20.5,,0
,20.5,,0
,20.5,,0
,20.5,,0
,20.5,,0
,20.5,,0
,20.5,,0
18.0,4.5,0.0,0
15.5,4.5,0.0,0
21.0,4.5,1.0,0
16.0,4.5,1.0,0
15.5,4.5,0.0,0
17.5,4.5,0.0,0
10.0,4.5,0.0,0
2.5,4.5,0.0,0
,16.0,,1
,16.0,,1
5.0,16.0,0.0,1
,16.0,,1
,9.5,,0
,9.5,,0
2.0,9.5,0.0,0
2.5,9.5,0.0,0
21.5,9.5,0.0,0
19.0,9.5,1.0,0
17.5,9.5,0.0,0
19.5,9.5,0.0,0
,19.5,,1
,19.5,,1
,15.0,,0
,15.0,,0
,13.5,,0
,13.5,,0
4.5,22.0,0.0,1
,22.0,,1
,22.0,,1
,22.0,,1
,18.5,,1
,18.5,,1
,18.5,,1
,18.5,,1
,8.5,,1
,8.5,,1
11.5,8.5,0.0,1
9.0,8.5,0.0,1
1.0,8.5,0.0,1
1.0,8.5,0.0,1
6.0,15.0,0.0,0
5.5,15.0,0.0,0
,15.0,,0
,15.0,,0
,15.0,,0
,15.0,,0
,17.0,,1
,17.0,,1
,17.0,,1
,17.0,,1
,4.0,,0
,4.0,,0
,4.0,,0
,4.0,,0
14.0,4.0,0.0,0
6.5,4.0,0.0,0
6.5,4.0,0.0,0
12.0,4.0,0.0,0
,14.5,,0
,14.5,,0
,14.5,,0
,14.5,,0
,14.5,,0
,14.5,,0
11.5,3.5,0.0,0
9.0,3.5,0.0,0
3.0,3.5,0.0,0
,3.5,,0
0.5,3.5,0.0,0
0.5,3.5,0.0,0
4.0,3.5,0.0,0
,3.5,,0
,21.5,,1
,21.5,,1
,21.5,,1
,21.5,,1
3.5,21.5,0.0,1
,21.5,,1
,21.5,,1
,21.5,,1
,3.5,,0
4.0,3.5,0.0,0
,3.5,,0
,3.5,,0
,3.5,,0
7.5,3.5,0.0,0
,3.5,,0
,3.5,,0
12.5,10.0,0.0,0
14.0,10.0,0.0,0
10.5,10.0,0.0,0
10.5,10.0,0.0,0
12.0,11.5,0.0,0
10.0,11.5,0.0,0
10.5,11.5,0.0,0
12.0,11.5,0.0,0
,11.5,,0
,11.5,,0
,11.5,,0
,11.5,,0
,11.5,,0
,11.5,,0
,16.0,,0
,16.0,,0
16.0,16.0,0.0,0
3.5,16.0,0.0,0
17.5,16.0,0.0,0
16.5,16.0,0.0,0
20.0,16.0,1.0,0
17.5,16.0,0.0,0
,19.0,,1
,19.0,,1
,18.0,,0
,18.0,,0
14.5,18.0,0.0,0
16.0,18.0,0.0,0
6.5,18.0,0.0,0
7.0,18.0,0.0,0
,17.5,,0
,17.5,,0
,17.5,,0
3.5,17.5,0.0,0
,17.5,,0
2.5,17.5,0.0,0
2.5,17.5,0.0,0
,17.5,,0
,17.5,,0
,17.5,,0
,17.5,,0
,17.5,,0
,15.5,,0
,15.5,,0
5.0,15.5,0.0,0
2.5,15.5,0.0,0
2.5,15.5,0.0,0
8.5,15.5,0.0,0
1.5,15.5,0.0,0
,15.5,,0
1.5,18.5,0.0,1
6.0,18.5,0.0,1
,18.5,,1
,18.5,,1
5.5,3.5,0.0,0
15.0,3.5,0.0,0
,25.0,,1
,25.0,,1
,18.5,,1
,18.5,,1
,18.5,,1
,18.5,,1
,18.5,,1
,18.5,,1
,18.0,,1
,18.0,,1
,18.0,,1
,18.0,,1
,18.0,,1
,18.0,,1
,18.0,,1
,18.0,,1
,11.5,,0
,11.5,,0
,11.5,,0
1.5,11.5,0.0,0
,11.5,,0
,11.5,,0
,11.5,,0
,11.5,,0
8.5,1.5,0.0,0
7.0,1.5,0.0,0
9.0,1.5,0.0,0
1.0,1.5,0.0,0
9.0,1.5,0.0,0
9.5,1.5,0.0,0
11.0,1.5,0.0,0
11.0,1.5,0.0,0
,19.0,,0
,19.0,,0
,13.5,,0
,13.5,,0
2.0,13.5,0.0,0
1.5,13.5,0.0,0
3.0,13.5,0.0,0
8.5,13.5,0.0,0
12.0,12.5,0.0,0
14.0,12.5,0.0,0
14.0,12.5,0.0,0
14.0,12.5,0.0,0
,12.5,,0
,12.5,,0
,23.5,,1
,23.5,,1
,23.5,,1
,23.5,,1
,18.5,,0
,18.5,,0
,18.5,,0
,18.5,,0
,18.5,,0
,18.5,,0
,18.5,,0
1.0,18.5,0.0,0
3.5,20.5,0.0,0
11.5,20.5,0.0,0
16.0,20.5,0.0,0
13.5,20.5,0.0,0
9.0,13.0,0.0,0
6.0,13.0,0.0,0
9.5,13.0,0.0,0
,13.0,,0
,13.0,,0
4.5,13.0,0.0,0
,13.0,,0
,13.0,,0
,10.0,,0
,10.0,,0
,10.0,,0
,10.0,,0
,10.0,,0
,10.0,,0
,10.0,,0
,10.0,,0
,16.0,,0
,16.0,,0
,16.0,,0
,16.0,,0
3.0,16.0,0.0,0
4.5,16.0,0.0,0
6.5,16.0,0.0,0
0.5,16.0,0.0,0
,16.5,,1
,16.5,,1
,16.5,,1
,16.5,,1
,16.5,,1
,16.5,,1
,16.5,,1
,16.5,,1
,21.5,,1
,21.5,,1
,21.5,,1
,21.5,,1
,21.5,,1
,21.5,,1
,19.5,,1
,19.5,,1
,19.5,,1
,19.5,,1
,19.5,,1
,19.5,,1
2.5,19.5,0.0,1
2.5,19.5,0.0,1
,20.0,,1
,20.0,,1
,20.5,,1
,20.5,,1
,26.0,,1
,26.0,,1
,26.0,,1
,26.0,,1
,19.5,,1
,19.5,,1
,19.5,,1
1.5,19.5,0.0,1
13.0,1.0,0.0,0
20.5,1.0,0.0,0
22.0,1.0,1.0,0
18.5,1.0,0.0,0
18.5,1.0,1.0,0
19.5,1.0,1.0,0
14.5,1.0,0.0,0
12.0,1.0,0.0,0
,24.0,,1
,24.0,,1
,19.5,,1
,19.5,,1
,19.5,,1
,19.5,,1
,11.5,,0
,11.5,,0
,4.5,,0
,4.5,,0
,11.0,,0
,11.0,,0
,11.0,,0
,11.0,,0
3.0,2.0,0.0,0
3.0,2.0,0.0,0
,4.0,,0
,4.0,,0
,19.0,,0
,19.0,,0
,19.0,,0
,19.0,,0
,19.0,,0
,19.0,,0
,3.5,,0
,3.5,,0
,3.5,,0
,3.5,,0
,13.5,,0
,13.5,,0
,13.5,,0
,13.5,,0
12.5,11.5,0.0,0
,11.5,,0
,19.0,,1
,19.0,,1
,11.5,,0
,11.5,,0
,6.5,,0
,6.5,,0
