cells,mothers,cells_censor,mother_censor
7.5,17.5,0.0,0
,17.5,,0
10.5,17.5,0.0,0
,17.5,,0
,17.5,,0
13.0,17.5,0.0,0
,17.5,,0
5.0,17.5,0.0,0
,9.0,,0
,9.0,,0
8.0,9.0,0.0,0
4.0,9.0,0.0,0
,9.0,,0
,9.0,,0
,18.5,,0
,18.5,,0
,4.0,,0
,4.0,,0
7.0,4.0,0.0,0
5.5,4.0,0.0,0
5.5,4.0,0.0,0
3.0,4.0,0.0,0
11.5,4.0,0.0,0
13.0,4.0,0.0,0
,16.5,,1
,16.5,,1
,16.5,,1
,16.5,,1
,6.5,,0
,6.5,,0
,6.5,,0
,6.5,,0
15.0,6.5,0.0,0
,6.5,,0
,6.5,,0
,6.5,,0
,15.5,,1
,15.5,,1
,19.5,,1
,19.5,,1
2.5,10.5,0.0,0
,10.5,,0
,10.5,,0
6.0,10.5,0.0,0
6.0,10.5,0.0,0
3.0,10.5,0.0,0
,10.5,,0
,10.5,,0
10.5,20.0,0.0,1
5.0,20.0,0.0,1
2.0,20.0,0.0,1
3.0,20.0,0.0,1
,20.0,,1
,20.0,,1
1.0,20.0,0.0,1
,20.0,,1
,21.0,,1
3.0,21.0,0.0,1
1.5,21.0,0.0,1
,21.0,,1
,21.0,,1
7.0,21.0,0.0,1
,13.5,,1
,13.5,,1
,13.5,,1
,13.5,,1
18.0,3.5,0.0,0
15.0,3.5,1.0,0
19.0,3.5,1.0,0
14.5,3.5,0.0,0
18.0,3.5,1.0,0
18.0,3.5,1.0,0
17.0,3.5,1.0,0
17.0,3.5,0.0,0
,17.0,,1
,17.0,,1
,17.0,,1
,17.0,,1
,14.5,,1
,14.5,,1
,14.5,,1
,14.5,,1
,14.5,,1
,14.5,,1
4.0,10.0,0.0,0
2.5,10.0,0.0,0
,10.0,,0
,10.0,,0
,17.5,,1
,17.5,,1
,17.5,,1
,17.5,,1
,7.0,,0
,7.0,,0
,7.0,,0
,7.0,,0
1.5,9.0,0.0,0
3.0,9.0,0.0,0
,9.0,,0
,9.0,,0
,18.5,,1
,18.5,,1
,18.5,,1
,18.5,,1
,22.0,,0
,22.0,,0
,25.0,,0
,25.0,,0
,17.0,,0
,17.0,,0
,17.0,,0
,17.0,,0
,17.0,,0
,17.0,,0
,17.0,,0
,17.0,,0
11.0,19.0,0.0,0
9.0,19.0,0.0,0
10.5,19.0,0.0,0
10.5,19.0,0.0,0
14.0,19.0,0.0,0
15.0,19.0,0.0,0
,22.0,,1
,22.0,,1
,11.0,,0
,11.0,,0
1.0,11.0,0.0,0
9.0,11.0,0.0,0
,18.0,,1
,18.0,,1
7.5,18.0,0.0,1
,18.0,,1
,25.0,,1
,25.0,,1
10.0,15.5,0.0,0
10.0,15.5,0.0,0
5.5,15.5,0.0,0
1.0,15.5,0.0,0
3.5,15.5,0.0,0
,15.5,,0
,3.5,,0
,3.5,,0
,3.5,,0
,3.5,,0
,3.5,,0
,3.5,,0
,3.5,,0
,3.5,,0
,5.5,,0
,5.5,,0
,5.5,,0
,5.5,,0
,5.5,,0
,5.5,,0
,5.5,,0
,5.5,,0
,9.0,,0
,9.0,,0
1.5,12.0,0.0,0
,12.0,,0
,12.0,,0
,12.0,,0
8.0,8.5,0.0,0
9.5,8.5,0.0,0
7.5,8.5,0.0,0
,8.5,,0
8.0,8.5,0.0,0
9.0,8.5,0.0,0
10.0,8.5,0.0,0
10.0,8.5,0.0,0
,18.5,,0
,18.5,,0
,18.5,,0
,18.5,,0
,18.5,,0
,18.5,,0
,15.0,,0
2.0,15.0,0.0,0
1.5,16.0,0.0,0
6.5,16.0,0.0,0
2.5,16.0,0.0,0
8.5,16.0,0.0,0
,16.0,,0
,16.0,,0
,16.0,,0
,16.0,,0
9.0,3.5,0.0,0
9.0,3.5,0.0,0
4.0,3.5,0.0,0
6.0,3.5,0.0,0
14.0,3.5,0.0,0
10.0,3.5,0.0,0
,3.5,,0
3.5,3.5,0.0,0
,2.5,,0
,2.5,,0
,2.5,,0
2.0,2.5,0.0,0
,2.5,,0
,2.5,,0
,2.5,,0
,2.5,,0
,7.0,,0
,7.0,,0
,6.0,,0
,6.0,,0
1.5,6.0,0.0,0
,6.0,,0
,6.0,,0
,6.0,,0
,6.0,,0
,6.0,,0
,10.5,,0
,10.5,,0
,10.5,,0
,10.5,,0
,10.5,,0
,10.5,,0
,10.5,,0
,10.5,,0
,13.0,,0
,13.0,,0
,13.0,,0
,13.0,,0
,13.0,,0
,13.0,,0
,13.0,,0
,13.0,,0
3.5,4.0,0.0,0
