TID,distance_mean,distance_total,average_velocity,Nr,PID,xpixel,ypixel,tmin,Ival,Lenpixel,D2Spixel,D2Rpixel,D2Ppixel,vpixelmin,αdeg,Δαdeg,well,field,treatment,motherID,generation,lineage,distance
1,6.290042036745115,201.28134517584368,12.58008407349023,1,1,384.5,457.5,0,77,0,0,NA,NA,NA,NA,NA,A03,C5_1,HGF,0,1,1,0
1,6.290042036745115,201.28134517584368,12.58008407349023,2,2,383,458,30,44,1.581,1.581,NA,1.581,0.053,161.565,NA,A03,C5_1,HGF,0,1,1,1.5811388300841898
1,6.290042036745115,201.28134517584368,12.58008407349023,3,3,383,462,60,44,5.581,4.743,NA,4,0.133,90,-71.565,A03,C5_1,HGF,0,1,1,4
1,6.290042036745115,201.28134517584368,12.58008407349023,4,4,380.5,467,90,134,11.171,10.308,NA,5.59,0.186,116.565,26.565,A03,C5_1,HGF,0,1,1,5.5901699437494745
1,6.290042036745115,201.28134517584368,12.58008407349023,5,5,377.5,465,120,142,14.777,10.259,NA,3.606,0.12,-146.31,97.125,A03,C5_1,HGF,0,1,1,3.605551275463989
1,6.290042036745115,201.28134517584368,12.58008407349023,6,6,375.5,467.5,150,117,17.978,13.454,NA,3.202,0.107,128.66,-85.03,A03,C5_1,HGF,0,1,1,3.2015621187164243
1,6.290042036745115,201.28134517584368,12.58008407349023,7,7,375,472.5,180,126,23.003,17.755,NA,5.025,0.167,95.711,-32.949,A03,C5_1,HGF,0,1,1,5.024937810560445
1,6.290042036745115,201.28134517584368,12.58008407349023,8,8,379,468.5,210,47,28.66,12.298,NA,5.657,0.189,-45,-140.711,A03,C5_1,HGF,0,1,1,5.656854249492381
1,6.290042036745115,201.28134517584368,12.58008407349023,9,9,378,466.5,240,114,30.896,11.102,NA,2.236,0.075,-116.565,-71.565,A03,C5_1,HGF,0,1,1,2.23606797749979
1,6.290042036745115,201.28134517584368,12.58008407349023,10,10,383,463,270,65,37,5.701,NA,6.103,0.203,-34.992,81.573,A03,C5_1,HGF,0,1,1,6.103277807866851
1,6.290042036745115,201.28134517584368,12.58008407349023,11,11,384,460,300,117,40.162,2.55,NA,3.162,0.105,-71.565,-36.573,A03,C5_1,HGF,0,1,1,3.1622776601683795
1,6.290042036745115,201.28134517584368,12.58008407349023,12,12,382,465,330,92,45.547,7.906,NA,5.385,0.18,111.801,-176.634,A03,C5_1,HGF,0,1,1,5.385164807134504
1,6.290042036745115,201.28134517584368,12.58008407349023,13,13,382,468,360,70,48.547,10.794,NA,3,0.1,90,-21.801,A03,C5_1,HGF,0,1,1,3
1,6.290042036745115,201.28134517584368,12.58008407349023,14,14,385.5,472,390,128,53.862,14.534,NA,5.315,0.177,48.814,-41.186,A03,C5_1,HGF,0,1,1,5.315072906367325
1,6.290042036745115,201.28134517584368,12.58008407349023,15,15,383.5,475.5,420,175,57.893,18.028,NA,4.031,0.134,119.745,70.931,A03,C5_1,HGF,0,1,1,4.031128874149275
1,6.290042036745115,201.28134517584368,12.58008407349023,16,16,385.5,476.5,450,41,60.129,19.026,NA,2.236,0.075,26.565,-93.18,A03,C5_1,HGF,0,1,1,2.23606797749979
1,6.290042036745115,201.28134517584368,12.58008407349023,17,17,390.5,480.5,480,141,66.532,23.77,NA,6.403,0.213,38.66,12.095,A03,C5_1,HGF,0,1,1,6.4031242374328485
1,6.290042036745115,201.28134517584368,12.58008407349023,18,18,392.5,481,510,78,68.594,24.824,NA,2.062,0.069,14.036,-24.624,A03,C5_1,HGF,0,1,1,2.0615528128088303
1,6.290042036745115,201.28134517584368,12.58008407349023,19,19,390.5,477.5,540,48,72.625,20.881,NA,4.031,0.134,-119.745,-133.781,A03,C5_1,HGF,0,1,1,4.031128874149275
1,6.290042036745115,201.28134517584368,12.58008407349023,20,20,392,475.5,570,58,75.125,19.5,NA,2.5,0.083,-53.13,66.615,A03,C5_1,HGF,0,1,1,2.5
1,6.290042036745115,201.28134517584368,12.58008407349023,21,21,393.5,471.5,600,125,79.397,16.643,NA,4.272,0.142,-69.444,-16.314,A03,C5_1,HGF,0,1,1,4.272001872658765
1,6.290042036745115,201.28134517584368,12.58008407349023,22,22,398.5,448,630,13,103.423,16.919,NA,24.026,0.801,-77.989,-8.545,A03,C5_1,HGF,0,1,1,24.026027553467927
