TID,distance_mean,distance_total,average_velocity,Nr,PID,xpixel,ypixel,tmin,Ival,Lenpixel,D2Spixel,D2Rpixel,D2Ppixel,vpixelmin,αdeg,Δαdeg,well,field,treatment,motherID,generation,lineage,distance
1,12.278499092907825,1191.014412012059,24.55699818581565,1,1,697.667,400.333,0,67,0,0,NA,NA,NA,NA,NA,A04,C7_1,OSM,0,1,1,0
1,12.278499092907825,1191.014412012059,24.55699818581565,2,2,699,407,30,206,6.799,6.799,NA,6.799,0.227,78.69,NA,A04,C7_1,OSM,0,1,1,6.798954184284489
1,12.278499092907825,1191.014412012059,24.55699818581565,3,3,699,407,60,78,6.799,6.799,NA,0,0,0,-78.69,A04,C7_1,OSM,0,1,1,0
1,12.278499092907825,1191.014412012059,24.55699818581565,4,4,699,407,90,60,6.799,6.799,NA,0,0,0,0,A04,C7_1,OSM,0,1,1,0
1,12.278499092907825,1191.014412012059,24.55699818581565,5,5,699,405.667,120,0,8.132,5.497,NA,1.333,0.044,-90,-90,A04,C7_1,OSM,0,1,1,1.3330000000000268
1,12.278499092907825,1191.014412012059,24.55699818581565,6,6,692.333,401.667,150,210,15.907,5.497,NA,7.775,0.259,-149.036,-59.036,A04,C7_1,OSM,0,1,1,7.7748883593271225
1,12.278499092907825,1191.014412012059,24.55699818581565,7,7,692.333,401.667,180,206,15.907,5.497,NA,0,0,0,149.036,A04,C7_1,OSM,0,1,1,0
1,12.278499092907825,1191.014412012059,24.55699818581565,8,8,701.667,408.333,210,216,27.376,8.944,NA,11.47,0.382,35.538,35.538,A04,C7_1,OSM,0,1,1,11.46992205727667
1,12.278499092907825,1191.014412012059,24.55699818581565,9,9,695,408.333,240,32,34.043,8.433,NA,6.667,0.222,180,144.462,A04,C7_1,OSM,0,1,1,6.66700000000003
1,12.278499092907825,1191.014412012059,24.55699818581565,10,10,695,415,270,5,40.71,14.907,NA,6.667,0.222,90,-90,A04,C7_1,OSM,0,1,1,6.666999999999973
1,12.278499092907825,1191.014412012059,24.55699818581565,11,11,695,421.667,300,78,47.376,21.499,NA,6.667,0.222,90,0,A04,C7_1,OSM,0,1,1,6.666999999999973
1,12.278499092907825,1191.014412012059,24.55699818581565,12,12,695,415,330,6,54.043,14.907,NA,6.667,0.222,-90,-180,A04,C7_1,OSM,0,1,1,6.666999999999973
1,12.278499092907825,1191.014412012059,24.55699818581565,13,13,693.667,405.667,360,70,63.471,6.667,NA,9.428,0.314,-98.13,-8.13,A04,C7_1,OSM,0,1,1,9.427713296446834
1,12.278499092907825,1191.014412012059,24.55699818581565,14,14,693.667,405.667,390,44,63.471,6.667,NA,0,0,0,98.13,A04,C7_1,OSM,0,1,1,0
1,12.278499092907825,1191.014412012059,24.55699818581565,15,15,692.333,397.667,420,125,71.582,5.963,NA,8.11,0.27,-99.462,-99.462,A04,C7_1,OSM,0,1,1,8.110459666381441
1,12.278499092907825,1191.014412012059,24.55699818581565,16,16,692.333,413.667,450,106,87.582,14.36,NA,16,0.533,90,-170.538,A04,C7_1,OSM,0,1,1,16
1,12.278499092907825,1191.014412012059,24.55699818581565,17,17,687,441.667,480,142,116.085,42.687,NA,28.503,0.95,100.784,10.784,A04,C7_1,OSM,0,1,1,28.50334873308748
1,12.278499092907825,1191.014412012059,24.55699818581565,18,18,688.333,459,510,123,133.469,59.404,NA,17.385,0.579,85.601,-15.183,A04,C7_1,OSM,0,1,1,17.384181832919285
1,12.278499092907825,1191.014412012059,24.55699818581565,19,19,699,471,540,114,149.525,70.679,NA,16.055,0.535,48.366,-37.235,A04,C7_1,OSM,0,1,1,16.05568089493562
1,12.278499092907825,1191.014412012059,24.55699818581565,20,20,703,476.333,570,131,156.192,76.187,NA,6.667,0.222,53.13,4.764,A04,C7_1,OSM,0,1,1,6.666400003000141
1,12.278499092907825,1191.014412012059,24.55699818581565,21,21,704.333,477.667,600,129,158.077,77.62,NA,1.886,0.063,45,-8.13,A04,C7_1,OSM,0,1,1,1.8858539179904092
1,12.278499092907825,1191.014412012059,24.55699818581565,22,22,704.333,477.667,630,129,158.077,77.62,NA,0,0,0,-45,A04,C7_1,OSM,0,1,1,0
1,12.278499092907825,1191.014412012059,24.55699818581565,23,23,704.333,477.667,660,139,158.077,77.62,NA,0,0,0,0,A04,C7_1,OSM,0,1,1,0
1,12.278499092907825,1191.014412012059,24.55699818581565,24,24,699,467,690,106,170.003,66.68,NA,11.926,0.398,-116.565,-116.565,A04,C7_1,OSM,0,1,1,11.925844959582491
1,12.278499092907825,1191.014412012059,24.55699818581565,25,25,699,473.667,720,129,176.67,73.345,NA,6.667,0.222,90,-153.435,A04,C7_1,OSM,0,1,1,6.666999999999973
1,12.278499092907825,1191.014412012059,24.55699818581565,26,26,699,473.667,750,174,176.67,73.345,NA,0,0,0,-90,A04,C7_1,OSM,0,1,1,0
1,12.278499092907825,1191.014412012059,24.55699818581565,27,27,695,484.333,780,190,188.062,84.042,NA,11.392,0.38,110.556,110.556,A04,C7_1,OSM,0,1,1,11.391380776710132
1,12.278499092907825,1191.014412012059,24.55699818581565,28,28,684.333,497.667,810,157,205.137,98.242,NA,17.075,0.569,128.66,18.104,A04,C7_1,OSM,0,1,1,17.075726778090566
1,12.278499092907825,1191.014412012059,24.55699818581565,29,29,671,500.333,840,123,218.734,103.494,NA,13.597,0.453,168.69,40.03,A04,C7_1,OSM,0,1,1,13.596927777994537
1,12.278499092907825,1191.014412012059,24.55699818581565,30,30,675,495,870,57,225.401,97.342,NA,6.667,0.222,-53.13,138.18,A04,C7_1,OSM,0,1,1,6.666400003000141
1,12.278499092907825,1191.014412012059,24.55699818581565,31,31,680.333,484.333,900,154,237.326,85.77,NA,11.926,0.398,-63.435,-10.305,A04,C7_1,OSM,0,1,1,11.925844959582491
1,12.278499092907825,1191.014412012059,24.55699818581565,32,32,703,464.333,930,82,267.555,64.222,NA,30.229,1.008,-41.424,22.011,A04,C7_1,OSM,0,1,1,30.229007410101996
1,12.278499092907825,1191.014412012059,24.55699818581565,33,33,685.667,485.667,960,42,295.042,86.173,NA,27.487,0.916,129.094,170.518,A04,C7_1,OSM,0,1,1,27.487678057631506
1,12.278499092907825,1191.014412012059,24.55699818581565,34,34,679,491,990,38,303.58,92.568,NA,8.537,0.285,141.34,12.246,A04,C7_1,OSM,0,1,1,8.537551054020156
