TID,distance_mean,distance_total,average_velocity,Nr,PID,xpixel,ypixel,tmin,Ival,Lenpixel,D2Spixel,D2Rpixel,D2Ppixel,vpixelmin,αdeg,Δαdeg,well,field,treatment,motherID,generation,lineage,distance
1,4.354270809214676,265.61051936209526,8.708541618429352,1,1,439.5,259,0,92,0,0,NA,NA,NA,NA,NA,A01,2,PBS,0,1,1,0
1,4.354270809214676,265.61051936209526,8.708541618429352,2,2,441.5,259,30,89,2,2,NA,2,0.067,0,NA,A01,2,PBS,0,1,1,2
1,4.354270809214676,265.61051936209526,8.708541618429352,3,3,440,262,60,77,5.354,3.041,NA,3.354,0.112,116.565,116.565,A01,2,PBS,0,1,1,3.3541019662496847
1,4.354270809214676,265.61051936209526,8.708541618429352,4,4,441,262,90,98,6.354,3.354,NA,1,0.033,0,-116.565,A01,2,PBS,0,1,1,1
1,4.354270809214676,265.61051936209526,8.708541618429352,5,5,441,262,120,129,6.354,3.354,NA,0,0,0,0,A01,2,PBS,0,1,1,0
1,4.354270809214676,265.61051936209526,8.708541618429352,6,6,439.5,259.5,150,101,9.27,0.5,NA,2.915,0.097,-120.964,-120.964,A01,2,PBS,0,1,1,2.9154759474226504
1,4.354270809214676,265.61051936209526,8.708541618429352,7,7,438,266,180,113,15.94,7.159,NA,6.671,0.222,102.995,-136.042,A01,2,PBS,0,1,1,6.670832032063167
1,4.354270809214676,265.61051936209526,8.708541618429352,8,8,445,274.5,210,68,26.952,16.447,NA,11.011,0.367,50.528,-52.467,A01,2,PBS,0,1,1,11.01135777277262
1,4.354270809214676,265.61051936209526,8.708541618429352,9,9,444.5,275,240,63,27.659,16.763,NA,0.707,0.024,135,84.472,A01,2,PBS,0,1,1,0.7071067811865476
1,4.354270809214676,265.61051936209526,8.708541618429352,10,10,445.5,276.5,270,12,29.462,18.5,NA,1.803,0.06,56.31,-78.69,A01,2,PBS,0,1,1,1.8027756377319946
1,4.354270809214676,265.61051936209526,8.708541618429352,11,11,439.5,277.5,300,29,35.544,18.5,NA,6.083,0.203,170.538,114.228,A01,2,PBS,0,1,1,6.082762530298219
1,4.354270809214676,265.61051936209526,8.708541618429352,12,12,435.5,280,330,57,40.261,21.378,NA,4.717,0.157,147.995,-22.543,A01,2,PBS,0,1,1,4.716990566028302
1,4.354270809214676,265.61051936209526,8.708541618429352,13,13,431,285,360,82,46.988,27.354,NA,6.727,0.224,131.987,-16.007,A01,2,PBS,0,1,1,6.726812023536855
1,4.354270809214676,265.61051936209526,8.708541618429352,14,14,429.5,286,390,48,48.791,28.792,NA,1.803,0.06,146.31,14.323,A01,2,PBS,0,1,1,1.8027756377319946
1,4.354270809214676,265.61051936209526,8.708541618429352,15,15,427.5,288.5,420,65,51.993,31.847,NA,3.202,0.107,128.66,-17.65,A01,2,PBS,0,1,1,3.2015621187164243
1,4.354270809214676,265.61051936209526,8.708541618429352,16,16,429,285,450,37,55.8,28.04,NA,3.808,0.127,-66.801,164.539,A01,2,PBS,0,1,1,3.8078865529319543
1,4.354270809214676,265.61051936209526,8.708541618429352,17,17,429,283.5,480,55,57.3,26.655,NA,1.5,0.05,-90,-23.199,A01,2,PBS,0,1,1,1.5
1,4.354270809214676,265.61051936209526,8.708541618429352,18,18,426.5,284,510,77,59.85,28.178,NA,2.55,0.085,168.69,-101.31,A01,2,PBS,0,1,1,2.5495097567963922
1,4.354270809214676,265.61051936209526,8.708541618429352,19,19,427.5,283,540,92,61.264,26.833,NA,1.414,0.047,-45,146.31,A01,2,PBS,0,1,1,1.4142135623730951
1,4.354270809214676,265.61051936209526,8.708541618429352,20,20,427.5,283.5,570,0,61.764,27.281,NA,0.5,0.017,90,135,A01,2,PBS,0,1,1,0.5
1,4.354270809214676,265.61051936209526,8.708541618429352,21,21,432,282.5,600,57,66.374,24.668,NA,4.61,0.154,-12.529,-102.529,A01,2,PBS,0,1,1,4.6097722286464435
1,4.354270809214676,265.61051936209526,8.708541618429352,22,22,431,281.5,630,99,67.788,24.052,NA,1.414,0.047,-135,-122.471,A01,2,PBS,0,1,1,1.4142135623730951
1,4.354270809214676,265.61051936209526,8.708541618429352,23,23,432,281,660,1,68.906,23.243,NA,1.118,0.037,-26.565,108.435,A01,2,PBS,0,1,1,1.118033988749895
1,4.354270809214676,265.61051936209526,8.708541618429352,24,24,433.5,277,690,31,73.178,18.974,NA,4.272,0.142,-69.444,-42.879,A01,2,PBS,0,1,1,4.272001872658765
1,4.354270809214676,265.61051936209526,8.708541618429352,25,25,434.5,277,720,127,74.178,18.682,NA,1,0.033,0,69.444,A01,2,PBS,0,1,1,1
1,4.354270809214676,265.61051936209526,8.708541618429352,26,26,422,263.5,750,14,92.577,18.069,NA,18.398,0.613,-132.797,-132.797,A01,2,PBS,0,1,1,18.398369492974098
